seq,ident,lat,lon,fl,lat_str,lon_str
1,WALL,-1.26833,116.89333,,S0116.1,E11653.6
2,OSVON,-1.34167,116.72167,77,S0120.5,E11643.3
3,OMGIN,-1.55667,116.81333,148,S0133.4,E11648.8
4,LL646,-1.805,116.78333,203,S0148.3,E11647.0
5,LL622,-1.92167,116.43167,260,S0155.3,E11625.9
6,JIDAR,-2.39667,115.94167,300,S0223.8,E11556.5
7,UGIDO,-2.625,115.25833,274,S0237.5,E11515.5
8,BITUV,-2.89,114.74167,161,S0253.4,E11444.5
9,ISNIT,-2.965,114.59833,129,S0257.9,E11435.9
10,LUVUK,-3.26667,114.545,71,S0316.0,E11432.7
11,LIBNU,-3.40167,114.52167,45,S0324.1,E11431.3
12,WAOO,-3.44,114.75333,45,S0326.4,E11445.2
