seq,ident,lat,lon,fl,lat_str,lon_str
1,WAOO,-3.44,114.75333,,S0326.4,E11445.2
2,NITUM,-3.6,114.88333,109,S0336.0,E11453.0
3,AKVEN,-3.69333,114.425,211,S0341.6,E11425.5
4,MUBLI,-3.955,114.01167,275,S0357.3,E11400.7
5,DUNIA,-3.96667,113.14167,343,S0358.0,E11308.5
6,LAVOV,-4.17833,112.52167,360,S0410.7,E11231.3
7,SUMDI,-4.61667,111.23,360,S0437.0,E11113.8
8,SPIKO,-4.87667,110.42333,360,S0452.6,E11025.4
9,AKSOX,-5.29667,109.04833,360,S0517.8,E10902.9
10,WIII,-6.12333,106.66167,360,S0607.4,E10639.7
