seq,ident,lat,lon,fl,lat_str,lon_str
1,WIII,-6.12333,106.66167,,S0607.4,E10639.7
2,BEMLO,-6.19833,106.50333,,S0611.9,E10630.2
3,OLPIK,-6.29167,106.54167,,S0617.5,E10632.5
4,ATOTO,-6.18,106.69833,,S0610.8,E10641.9
5,HLM,-6.27167,106.88667,,S0616.3,E10653.2
6,NUREN,-6.34167,107.02167,,S0620.5,E10701.3
7,PW,-6.56667,107.45,,S0634.0,E10727.0
8,ASIPA,-6.625,107.93167,,S0637.5,E10755.9
9,CA,-6.69833,108.56,,S0641.9,E10833.6
10,BOMAN,-6.45667,110.38333,,S0627.4,E11023.0
11,BLACK,-6.35833,111.115,,S0621.5,E11106.9
12,WAWAN,-6.26667,111.815,,S0616.0,E11148.9
13,HEREN,-5.945,114.13833,,S0556.7,E11408.3
14,BIMAK,-5.52667,117.06833,,S0531.6,E11704.1
15,NAZUL,-5.39667,118.09333,,S0523.8,E11805.6
16,EMYRE,-5.295,118.91,,S0517.7,E11854.6
17,OLVAS,-5.29333,119.42833,,S0517.6,E11925.7
18,WAAA,-5.06,119.555,,S0503.6,E11933.3
