seq,ident,lat,lon,fl,lat_str,lon_str
1,WIII,-6.12333,106.66167,,S0607.4,E10639.7
2,BEMLO,-6.19833,106.50333,62,S0611.9,E10630.2
3,OLPIK,-6.29167,106.54167,102,S0617.5,E10632.5
4,ATOTO,-6.18,106.69833,154,S0610.8,E10641.9
5,LEMAG,-6.105,106.80167,183,S0606.3,E10648.1
6,RATIH,-5.92333,107.005,232,S0555.4,E10700.3
7,IDRIN,-5.665,107.10167,264,S0539.9,E10706.1
8,ISNED,-5.43333,107.78833,329,S0526.0,E10747.3
9,TEMOM,-5.0,108.405,330,S0500.0,E10824.3
10,EGUKO,-4.71333,108.815,330,S0442.8,E10848.9
11,TAVIP,-3.965,110.38333,330,S0357.9,E11023.0
12,LAMUD,-3.04,112.30833,330,S0302.4,E11218.5
13,BUTNU,-2.60667,113.40667,330,S0236.4,E11324.4
14,PKY,-2.24833,113.95167,330,S0214.9,E11357.1
15,SILJA,-1.68667,115.22833,330,S0141.2,E11513.7
16,YOSHA,-1.54333,115.64,330,S0132.6,E11538.4
17,PORAG,-1.32333,116.275,261,S0119.4,E11616.5
18,LL623,-1.34833,116.475,222,S0120.9,E11628.5
19,TERUB,-1.52333,116.54833,186,S0131.4,E11632.9
20,LL627,-1.42667,116.80333,134,S0125.6,E11648.2
21,LL630,-1.37,116.95833,101,S0122.2,E11657.5
22,ESDOV,-1.30667,117.13,65,S0118.4,E11707.8
23,LELEB,-1.19,117.08,39,S0111.4,E11704.8
24,WALL,-1.26833,116.89333,39,S0116.1,E11653.6
