seq,ident,lat,lon,fl,lat_str,lon_str
1,WIII,-6.12333,106.66167,,S0607.4,E10639.7
2,BEMLO,-6.19833,106.50333,,S0611.9,E10630.2
3,OLPIK,-6.29167,106.54167,,S0617.5,E10632.5
4,ATOTO,-6.18,106.69833,,S0610.8,E10641.9
5,LEMAG,-6.105,106.80167,,S0606.3,E10648.1
6,RATIH,-5.92333,107.005,,S0555.4,E10700.3
7,IDRIN,-5.665,107.10167,,S0539.9,E10706.1
8,ISNED,-5.43333,107.78833,,S0526.0,E10747.3
9,TEMOM,-5.0,108.405,,S0500.0,E10824.3
10,EGUKO,-4.71333,108.815,,S0442.8,E10848.9
11,TAVIP,-3.965,110.38333,,S0357.9,E11023.0
12,LAMUD,-3.04,112.30833,,S0302.4,E11218.5
13,BUTNU,-2.60667,113.40667,,S0236.4,E11324.4
14,REGAS,-3.00667,114.47,,S0300.4,E11428.2
15,NODAV,-3.07667,114.75,,S0304.6,E11445.0
16,SANED,-3.215,114.925,,S0312.9,E11455.5
17,RIMSI,-3.33,115.07,,S0319.8,E11504.2
18,DOLKA,-3.49333,115.03833,,S0329.6,E11502.3
19,WAOO,-3.44,114.75333,,S0326.4,E11445.2
